from,to,share
ESP,NOR,0.08327219536554585
SAU,NPL,0.2062566246165605
MYS,NPL,0.20537143275866024
IND,NPL,0.1930204937828903
QAT,NPL,0.13392101334237136
USA,NPL,0.08340342290305006
AUS,NZL,0.7538710126979891
GBR,NZL,0.0974282473738247
USA,NZL,0.06654768353571697
PSE,OMN,0.4565977403065738
GBR,OMN,0.1381022527799002
AUS,OMN,0.07677716976125436
LBY,OMN,0.0688097061910608
CAN,OMN,0.06715781756407614
SAU,PAK,0.25693286213485433
ARE,PAK,0.1912439085787936
GBR,PAK,0.09395410872185907
USA,PAK,0.07985622209462298
KWT,PAK,0.06258536055356638
USA,PAN,0.7315555838001856
CRI,PAN,0.09017863740051192
ESP,PAN,0.03904799373477885
COL,PAN,0.020540287696141687
USA,PER,0.3228799017823081
CHL,PER,0.1470062882985109
ESP,PER,0.14054704466191328
ARG,PER,0.11809488374485037
ITA,PER,0.07761156011841236
USA,PHL,0.3499123284470002
SAU,PHL,0.10004417500782106
CAN,PHL,0.09999849199659687
ARE,PHL,0.09456270097719677
AUS,PHL,0.04967386633721315
GUM,PLW,0.5638905362506267
MNP,PLW,0.20920302063380533
FSM,PLW,0.10533814067124704
GRC,PLW,0.0752288544105914
AUS,PNG,0.8888741017260791
NZL,PNG,0.03853905216291785
GBR,PNG,0.03460374438347715
DEU,POL,0.445058132434738
GBR,POL,0.17067925305485032
USA,POL,0.08696966014512662
NLD,POL,0.03431348797607033
CAN,POL,0.03233825237384264
FRA,PRT,0.28320877332937894
CHE,PRT,0.12325134325905734
USA,PRT,0.09081166428852627
GBR,PRT,0.08028145732564575
BRA,PRT,0.07758878918372888
ARG,PRY,0.7549356879914864
ESP,PRY,0.08867336642604215
USA,PRY,0.06029740665196373
BRA,PRY,0.052340212022952845
JOR,PSE,0.5505645419708652
SYR,PSE,0.13603365370599838
LBN,PSE,0.11454430240102297
LBY,PSE,0.08324531060280192
EGY,PSE,0.033708777167868034
PSE,QAT,0.3028877352368592
TUR,QAT,0.09662556781310837
CAN,QAT,0.08695652173913043
ARE,QAT,0.08666450356911096
GBR,QAT,0.07615184944841012
ESP,ROU,0.2189138846742139
ITA,ROU,0.20740292973033672
DEU,ROU,0.1963902432663079
